#         t          x          y          z         vx         vy         vz
      3.357    -55.280    112.350    -47.930    -43.260     96.830    -31.600
      3.429    -58.700    119.900    -50.120    -42.960    110.970    -30.480
      3.500    -61.700    128.240    -52.270    -40.480    120.650    -30.220
      3.571    -64.630    137.400    -54.370    -42.300    132.560    -28.110
      3.643    -67.810    147.400    -56.320    -43.680    149.020    -27.660
      3.714    -70.890    158.790    -58.080    -43.360    171.070    -21.100
      3.786    -73.960    171.810    -59.240    -43.640    191.550    -10.850
      3.857    -77.040    186.710    -59.390    -36.410    227.590     10.370
      3.929    -78.610    204.400    -57.230     -5.510    264.520     57.210
      4.000    -76.780    223.090    -50.340     57.270    245.460    129.540
      4.071    -71.180    238.440    -40.120     91.700    182.790    148.360
      4.143    -64.420    249.440    -30.150     85.110    125.100    128.980
      4.214    -58.670    257.230    -21.900     75.030     88.990    103.640
      4.286    -53.720    262.490    -15.130     67.390     65.340     86.130
      4.357    -49.140    266.370     -9.700     63.070     44.880     70.920
      4.429    -44.630    268.830     -5.010     61.690     26.050     62.860
      4.500    -40.400    270.110     -0.920     58.570      8.500     52.790
      4.571    -36.390    270.190      2.730     53.290     -6.080     49.850
      4.643    -32.520    269.370      6.140     51.850    -17.510     43.330
      4.714    -28.940    267.800      9.110     52.050    -28.720     37.670
      4.786    -25.410    265.390     11.670     50.890    -40.080     32.730
      4.857    -21.880    262.110     14.000     49.710    -51.220     29.930
      4.929    -18.540    258.180     16.080     44.860    -60.430     25.900
      5.000    -15.490    253.510     17.790     42.870    -70.800     21.370
      5.071    -12.640    248.110     19.090     37.000    -80.070     14.590
      5.143     -9.850    242.110     19.910     36.850    -88.500      5.160
      5.214     -7.410    235.550     19.960     29.930    -92.830     -6.110
      5.286     -5.130    228.930     18.960     32.290    -89.500    -19.830
      5.357     -2.720    222.390     17.430     36.910    -89.560    -23.520
      5.429     -0.190    215.530     15.880     37.290    -98.980    -21.080
      5.500      2.320    207.900     14.410     35.760   -113.130    -18.350
      5.571      4.720    199.280     13.120     32.340   -129.950    -15.760
      5.643      6.730    189.100     11.690     24.210   -151.520    -20.350
      5.714      7.980    177.410      9.810     10.920   -174.890    -32.400
      5.786      8.140    163.170      6.920    -11.860   -222.740    -49.690
      5.857      4.220    144.620      1.560   -171.750   -232.820    -87.660
      5.929     -4.430    135.210     -0.780    -81.190    -73.050    -13.940
      6.000     -6.940    132.120     -0.140     24.730    -35.430     24.110
      6.071     -5.020    131.690      2.050     78.950     -0.040     48.380
      6.143      0.170    133.570      5.150    125.470     42.330     72.750
      6.214     13.890    139.180     11.810    184.920    133.850    119.400
      6.286     21.770    144.430     19.310     37.420    -44.520     31.890
      6.357     22.970    139.940     18.600     41.600    -50.430     22.520
      6.429     25.460    137.900     19.840     41.880    -26.800     18.420
      6.500     28.520    136.610     21.990     42.410    -20.290     21.640
      6.571     31.590    135.050     24.010     41.790    -31.170     21.670
      6.643     34.790    133.240     26.800     39.800    -23.340     34.010
      6.714     37.550    131.610     29.570     38.150    -25.970     33.810
      6.786     40.280    129.510     32.340     43.460    -27.690     40.540
      6.857     43.090    127.200     34.510     41.400    -30.900     28.540
      6.929     45.850    124.730     36.440     42.840    -31.450     24.280
      7.000     48.600    122.360     38.510     38.410    -28.490     22.220
      7.071     51.000    120.010     40.310     38.670    -22.490     29.470
      7.143     53.190    118.040     41.940     32.960    -20.710     20.040
      7.214     57.670    115.680     43.760     36.460    -24.670     22.220
      7.286     60.280    114.020     45.350     32.320    -27.300     21.500
      7.357     62.790    112.070     47.030     30.530    -26.070     22.820
      7.429     65.250    110.380     48.920     30.310    -24.040     26.970
      7.500     67.530    108.650     50.730     29.540    -25.230     24.580
      7.571     69.580    106.590     52.530     28.090    -27.910     23.540
      7.643     71.500    104.590     54.100     30.750    -25.530     30.240
      7.714     73.660    102.950     55.840     28.070    -21.780     25.610
      7.786     75.390    101.250     57.130     28.620    -20.980     18.810
      7.857     77.240    100.240     58.190     30.190    -16.840     18.870
      7.929     79.470     99.190     59.300     32.890    -20.190     18.240
      8.000     81.750     97.900     60.600     36.390    -16.900     21.720
      8.071     84.300     96.970     62.220     37.310    -17.410     23.040
      8.143     86.810     96.000     63.650     37.950    -19.830     22.980
      8.214     89.550     94.640     65.770     37.710    -17.160     29.690
      8.286     92.540     93.440     68.230     40.830    -17.010     35.230
      8.357     95.110     92.290     70.420     40.440    -23.280     38.950
      8.429     98.030     90.600     73.020     37.800    -23.010     37.160
      8.500    100.450     89.100     75.070     34.590    -25.190     32.590
      8.571    103.050     87.310     77.270     32.650    -24.990     26.240
      8.643    105.450     85.650     79.170     32.710    -25.730     26.810
      8.714    108.070     83.720     81.020     31.620    -25.690     20.140
      8.786    110.130     81.870     82.600     27.080    -27.660     14.560
      8.857    112.280     79.910     84.120     33.220    -25.990     18.940
      8.929    114.640     77.940     85.770     32.940    -26.060     21.990
      9.000    116.980     76.180     87.340     31.140    -24.310     20.370
      9.071    118.200     73.400     88.690     29.240    -24.090     20.110
      9.143    121.170     72.420     90.180     30.680    -27.810     19.350
      9.214    122.520     69.920     91.540     31.450    -25.340     21.910
      9.286    125.180     68.650     92.960     31.810    -25.930     21.460
      9.357    127.300     66.840     94.270     28.930    -25.900     18.090
      9.429    129.330     64.880     95.610     27.570    -29.420     20.680
      9.500    131.360     63.300     97.390     25.390    -22.340     24.180
      9.571    132.830     61.230     98.790     26.840    -17.040     26.740
      9.643    135.280     60.770    100.800     29.300    -13.690     24.790
      9.714    137.200     59.550    102.530     29.050    -14.820     22.090
      9.786    139.260     58.560    104.380     32.200    -17.970     24.960
      9.857    142.150     57.430    106.500     36.100    -16.410     25.950
      9.929    144.170     55.950    108.050     36.730    -17.120     29.720
     10.000    146.790     54.430    110.110     38.280    -19.830     31.630
     10.071    149.660     53.370    112.770     36.000    -21.950     31.720
     10.143    151.840     51.280    114.530     31.220    -19.680     34.910
     10.214    154.050     49.980    116.910     33.040    -17.700     32.290
     10.286    156.390     49.020    119.600     33.260    -18.430     32.070
     10.357    158.520     47.490    121.610     34.110    -16.900     29.990
     10.429    160.520     45.910    123.230     33.930    -19.400     24.340
     10.500    163.580     44.250    125.180     29.720    -26.740     20.310
     10.571    165.860     42.250    126.840     32.260    -31.850     18.110
     10.643    167.030     40.420    127.200     30.920    -31.070     17.100
     10.714    170.200     38.050    129.480     29.190    -30.460     17.700
     10.786    172.120     36.080    130.850     25.140    -23.950     18.410
     10.857    173.100     35.340    131.180     26.310    -20.120     18.390
     10.929    175.150     33.850    133.030     30.840    -17.150     24.190
     11.000    177.520     32.540    135.030     32.180    -16.960     27.220
     11.071    179.820     31.270    137.230     30.610    -20.370     26.900
     11.143    181.970     29.610    139.010     29.750    -21.900     28.880
     11.214    184.150     27.840    140.940     29.910    -22.400     28.910
     11.286    186.600     26.330    143.440     29.330    -18.350     28.490
     11.357    188.700     24.940    145.340     29.550    -22.650     27.780
     11.429    190.740     23.630    146.600     31.490    -18.960     26.680
