#         t          x          y          z         vx         vy         vz
      4.857    -38.680    100.990    -43.940     16.400    -22.300     16.730
      4.929    -37.540     99.910    -42.790     17.050    -11.470     17.530
      5.000    -36.140     99.470    -41.600     19.410     -4.010     21.760
      5.071    -34.730     99.490    -40.000     20.120      4.980     24.410
      5.143    -33.120    100.170    -38.250     22.940     13.850     27.880
      5.214    -31.280    101.390    -36.210     27.120     19.600     33.610
      5.286    -29.410    103.100    -33.760     26.630     28.550     37.540
      5.357    -27.220    105.520    -31.110     30.350     37.080     42.070
      5.429    -24.990    108.520    -28.000     34.220     48.250     45.780
      5.500    -22.450    112.280    -24.630     37.590     55.690     52.100
      5.571    -19.750    116.900    -20.730     44.140     70.280     58.800
      5.643    -16.600    122.550    -16.350     49.120     87.250     68.410
      5.714    -13.010    129.650    -11.340     60.690    110.490     80.030
      5.786     -8.300    138.710     -5.090     80.920    147.050     98.870
      5.857     -0.520    150.710      3.240    197.120    148.430    134.210
      5.929     10.500    156.780      9.180    119.870     20.560     64.170
      6.000     17.620    157.900     12.180     50.900     -6.590     39.230
      6.071     21.850    156.390     13.980      8.340    -21.280     22.190
      6.143     23.810    152.800     15.350    -14.490    -50.910      8.270
      6.214     24.170    147.130     16.030    -52.240   -116.100    -21.140
      6.286     24.740    141.270     15.970     56.090      0.600     50.130
      6.357     27.440    139.780     17.980     36.360     -8.430     50.780
      6.429     29.540    138.310     20.050     29.270    -28.010     41.010
      6.500     28.520    136.540     21.880     36.420    -34.520     31.420
      6.571     32.840    134.260     24.290     37.700    -25.690     49.210
      6.643     34.600    132.730     26.940     41.880    -26.810     43.330
      6.714     37.110    131.140     29.790     42.450    -26.790     42.120
      6.786     40.400    129.190     32.180     37.040    -34.540     31.060
      6.857     43.390    127.020     34.240     39.420    -32.490     31.550
      6.929     44.600    125.500     36.370     38.340    -33.920     27.060
      7.000     47.020    123.260     38.290     40.850    -33.960     27.000
      7.071     49.370    120.700     40.140     34.330    -34.880     14.830
      7.143     52.070    118.260     41.990     34.540    -30.680     15.070
      7.214     54.490    116.190     43.630     33.370    -27.950     14.370
      7.286     56.970    114.180     45.270     34.420    -29.550     14.630
      7.357     59.610    112.340     46.910     36.270    -25.130     18.950
      7.429     62.110    110.670     48.490     34.510    -22.420     19.510
      7.500     64.860    109.020     50.050     37.150    -22.660     22.680
      7.571     67.460    107.510     51.560     35.680    -22.650     24.820
      7.643     70.140    106.130     53.200     34.780    -21.150     20.910
      7.714     72.690    104.510     54.680     31.690    -19.780     21.570
      7.786     75.410    103.260     56.010     33.490    -16.180     20.100
      7.857     78.070    101.990     57.490     32.380    -18.750     19.960
      7.929     80.680    100.440     59.030     32.790    -20.700     16.590
      8.000     83.340     99.140     60.690     34.060    -18.070     21.120
      8.071     85.880     97.810     62.470     34.340    -18.670     22.320
      8.143     88.070     96.590     64.280     33.070    -16.570     24.520
      8.214     90.450     95.420     66.090     34.630    -15.840     25.970
      8.286     92.710     94.130     68.160     35.670    -20.840     31.120
      8.357     95.020     92.670     70.310     36.990    -20.310     35.550
      8.429     97.380     91.170     72.270     37.490    -24.060     32.400
      8.500     99.800     89.380     74.300     34.490    -28.390     32.640
      8.571    102.490     87.420     76.400     35.900    -28.440     29.940
      8.643    105.040     85.380     78.160     33.630    -33.610     23.440
      8.714    107.530     83.170     79.980     29.520    -31.370     25.150
      8.786    109.750     81.310     81.940     32.620    -28.080     23.340
      8.857    112.200     79.290     83.650     32.080    -29.250     20.820
      8.929    114.260     77.320     85.280     31.950    -27.370     21.860
      9.000    116.450     75.360     87.060     32.240    -26.130     19.710
      9.071    118.490     73.340     88.580     29.240    -24.530     21.670
      9.143    120.550     71.400     90.330     30.610    -25.160     21.160
      9.214    122.520     69.390     91.910     29.440    -25.180     18.720
      9.286    124.430     67.270     93.260     31.410    -26.390     19.600
      9.357    126.450     65.450     94.670     31.190    -26.460     21.870
      9.429    128.450     63.670     96.070     27.180    -25.430     21.670
      9.500    130.360     62.190     97.390     24.880    -20.840     19.920
      9.571    132.280     60.760     98.870     25.180    -14.680     22.310
      9.643    134.420     59.770    100.380     29.030    -13.310     23.100
      9.714    136.660     58.720    102.180     31.620    -13.280     23.710
      9.786    139.050     57.820    104.130     33.020    -14.510     25.270
      9.857    141.660     56.960    106.260     33.910    -18.730     25.560
      9.929    144.030     55.790    108.240     32.750    -20.220     30.210
     10.000    146.470     54.780    110.560     36.620    -20.500     31.490
     10.071    148.970     53.490    112.680     33.380    -19.290     31.890
     10.143    151.460     52.210    114.810     31.240    -18.140     33.270
     10.214    154.090     50.920    116.810     34.160    -19.140     30.510
     10.286    156.720     49.380    118.960     34.410    -19.580     29.340
     10.357    159.510     47.750    121.220     36.290    -19.910     28.170
     10.429    162.140     46.030    123.130     34.840    -24.990     27.970
     10.500    164.800     44.040    125.530     33.080    -31.670     25.700
     10.571    167.000     41.990    127.560     31.940    -31.030     19.600
     10.643    169.300     40.020    129.300     28.820    -29.800     19.380
     10.714    171.180     38.080    130.850     31.240    -25.910     17.230
     10.786    173.140     36.360    132.220     26.730    -22.140     19.970
     10.857    174.720     34.550    133.600     28.290    -18.640     19.090
     10.929    176.310     32.950    134.840     27.790    -16.860     21.510
     11.000    178.070     31.560    136.160     30.220    -15.450     24.790
     11.071    179.950     30.290    137.650     31.870    -16.820     26.640
     11.143    181.800     28.860    139.150     29.800    -20.120     27.700
     11.214    183.930     27.440    140.690     29.180    -18.620     29.480
     11.286    186.170     26.220    142.410     29.190    -17.690     27.190
     11.357    188.460     25.050    144.100     30.530    -20.360     27.870
     11.429    190.850     23.610    145.870     31.770    -22.640     27.230
